ParticipantID,ParticipantSex,ParticipantAge,PITCH_MANIPULATION,VOICE_NUMBER,HEALTH_F0,DISEASE_LIKELIHOOD_F0,ILLNESS_FREQUENCY_F0,ILLNESS_SEVERITY_F0,PD_F0,SD_F0
52,0,44,2,7,9,2,1,7,7,8
52,0,44,2,8,6,6,8,6,7,6
53,0,34,1,1,3,5,5,5,4,4
53,0,34,1,2,3,5,6,4,3,3
53,0,34,1,3,7,2,3,7,6,5
53,0,34,1,4,7,2,3,8,7,8
53,0,34,2,5,4,5,6,3,3,4
53,0,34,2,6,3,6,7,3,2,2
53,0,34,2,7,7,2,3,5,4,3
53,0,34,2,8,7,2,3,7,6,6
54,0,22,1,1,2,8,2,6,8,6
54,0,22,1,2,6,6,4,7,6,3
54,0,22,1,3,3,5,3,6,9,7
54,0,22,1,4,2,1,3,8,7,7
54,0,22,2,5,1,8,6,1,2,4
54,0,22,2,6,6,9,8,9,3,6
54,0,22,2,7,3,4,9,1,7,7
54,0,22,2,8,6,7,8,3,1,3
58,0,30,1,1,4,6,7,3,3,5
58,0,30,1,2,5,7,9,2,3,7
58,0,30,1,3,7,3,6,5,9,8
58,0,30,1,4,4,4,5,5,7,8
58,0,30,2,5,4,7,7,2,5,6
58,0,30,2,6,2,8,7,2,6,7
58,0,30,2,7,4,5,4,6,7,7
58,0,30,2,8,3,3,6,5,5,7
60,0,27,1,1,6,8,4,4,3,6
60,0,27,1,2,2,6,4,7,4,7
60,0,27,1,3,7,2,1,9,5,8
60,0,27,1,4,7,2,3,6,8,7
60,0,27,2,5,5,4,9,5,5,6
60,0,27,2,6,5,9,6,3,1,2
60,0,27,2,7,8,4,3,7,6,8
60,0,27,2,8,8,7,4,3,6,8
62,0,31,1,1,4,6,6,3,6,7
62,0,31,1,2,5,7,6,2,5,5
62,0,31,1,3,8,1,1,8,9,9
62,0,31,1,4,2,2,1,5,9,6
62,0,31,2,5,7,3,6,4,4,3
62,0,31,2,6,3,7,7,3,3,4
62,0,31,2,7,9,3,3,7,7,7
62,0,31,2,8,6,4,2,7,3,7
64,0,19,1,1,6,3,9,8,8,7
64,0,19,1,2,6,1,9,8,6,8
64,0,19,1,3,3,1,7,9,7,9
64,0,19,1,4,8,3,8,6,6,8
64,0,19,2,5,2,2,9,7,8,6
64,0,19,2,6,3,3,4,7,2,2
64,0,19,2,7,6,1,2,5,8,7
64,0,19,2,8,1,3,6,3,6,7
66,0,29,1,1,5,6,7,6,6,7
66,0,29,1,2,5,7,7,4,4,6
66,0,29,1,3,7,6,5,3,5,6
66,0,29,1,4,7,7,6,5,6,8
66,0,29,2,5,7,5,2,4,3,6
66,0,29,2,6,5,4,4,5,3,3
66,0,29,2,7,8,6,3,3,6,6
66,0,29,2,8,4,2,4,4,4,5
69,0,27,1,1,5,5,5,7,7,6
69,0,27,1,2,2,7,5,1,3,5
69,0,27,1,3,9,8,7,6,7,3
69,0,27,1,4,5,7,8,7,7,8
69,0,27,2,5,1,4,6,2,5,6
69,0,27,2,6,8,6,3,6,6,4
69,0,27,2,7,9,7,7,7,6,2
69,0,27,2,8,8,7,6,5,6,6
70,0,25,1,1,6,5,3,7,6,6
70,0,25,1,2,6,6,2,6,6,6
70,0,25,1,3,3,5,4,3,6,6
70,0,25,1,4,6,4,6,8,6,7
70,0,25,2,5,4,4,7,4,4,3
70,0,25,2,6,4,6,2,4,3,4
70,0,25,2,7,3,3,7,2,3,6
70,0,25,2,8,6,3,4,7,6,6
72,0,30,1,1,6,5,7,4,2,2
72,0,30,1,2,9,4,8,7,7,7
72,0,30,1,3,7,6,1,4,7,8
72,0,30,1,4,8,2,2,7,9,6
72,0,30,2,5,2,2,9,2,2,6
72,0,30,2,6,2,2,1,3,1,6
72,0,30,2,7,9,7,1,3,6,8
72,0,30,2,8,9,6,3,2,6,7
73,0,42,1,1,2,6,6,5,3,4
73,0,42,1,2,4,2,4,6,3,4
73,0,42,1,3,6,3,6,8,7,6
73,0,42,1,4,5,6,4,5,7,6
73,0,42,2,5,6,6,4,6,4,7
73,0,42,2,6,2,7,3,7,5,4
73,0,42,2,7,7,8,3,8,6,6
73,0,42,2,8,7,7,4,8,6,7
74,0,25,1,1,5,5,6,5,6,6
74,0,25,1,2,5,7,6,6,5,6
74,0,25,1,3,6,5,6,5,5,5
74,0,25,1,4,7,6,5,5,4,6
74,0,25,2,5,5,6,5,5,5,7
74,0,25,2,6,7,6,6,5,5,7
74,0,25,2,7,5,6,6,6,6,5
74,0,25,2,8,5,5,5,5,6,6
75,0,27,1,1,7,3,9,9,2,8
75,0,27,1,2,4,7,5,2,6,4
75,0,27,1,3,5,4,4,4,3,2
75,0,27,1,4,9,3,6,5,7,5
75,0,27,2,5,6,4,5,9,3,3
75,0,27,2,6,8,3,3,6,4,7
75,0,27,2,7,7,7,3,5,7,6
75,0,27,2,8,7,8,4,5,8,7
78,0,36,1,1,4,5,6,5,5,5
78,0,36,1,2,6,7,6,4,4,4
78,0,36,1,3,7,4,3,5,7,7
78,0,36,1,4,5,4,5,8,7,7
78,0,36,2,5,4,4,5,4,4,4
78,0,36,2,6,5,7,6,2,2,4
78,0,36,2,7,7,8,3,7,7,8
78,0,36,2,8,3,4,5,4,5,7
79,0,25,1,1,9,1,9,5,9,7
79,0,25,1,2,9,7,5,8,1,9
79,0,25,1,3,9,1,5,4,9,9
79,0,25,1,4,9,1,1,8,8,8
79,0,25,2,5,5,8,9,1,1,8
79,0,25,2,6,9,7,5,9,2,1
79,0,25,2,7,9,6,7,5,9,7
79,0,25,2,8,9,1,5,7,7,7
81,0,34,1,1,4,8,6,5,6,5
81,0,34,1,2,4,6,7,5,6,7
81,0,34,1,3,3,3,5,4,5,4
81,0,34,1,4,5,7,4,7,5,6
81,0,34,2,5,3,4,6,6,6,6
81,0,34,2,6,7,4,6,3,6,5
81,0,34,2,7,5,7,5,6,5,6
81,0,34,2,8,7,5,4,4,4,5
82,0,26,1,1,8,3,8,4,8,3
82,0,26,1,2,8,3,5,8,7,7
82,0,26,1,3,8,3,6,8,8,8
82,0,26,1,4,8,3,8,7,8,8
82,0,26,2,5,8,4,7,8,7,7
82,0,26,2,6,7,2,6,8,5,8
82,0,26,2,7,8,3,6,7,7,7
82,0,26,2,8,8,2,7,7,8,8
83,0,35,1,1,8,4,3,6,4,6
83,0,35,1,2,6,4,5,5,5,6
83,0,35,1,3,8,2,3,7,7,5
83,0,35,1,4,7,2,2,7,7,6
83,0,35,2,5,7,3,2,5,5,6
83,0,35,2,6,7,5,6,4,2,5
83,0,35,2,7,7,3,2,7,6,6
83,0,35,2,8,7,3,2,7,6,5
86,0,26,1,1,9,8,7,9,5,9
86,0,26,1,2,5,7,8,8,8,8
86,0,26,1,3,8,6,4,8,7,5
86,0,26,1,4,3,8,9,8,7,8
86,0,26,2,5,6,9,7,9,4,5
86,0,26,2,6,6,7,6,7,6,9
86,0,26,2,7,5,7,7,6,7,5
86,0,26,2,8,5,6,9,8,9,8
